,Item,Brand,Usage,Gender,Model,Size,Sale_Until,Prize
23379,Shoes,Miraclesuit,Used,Women,Miraclesuit Renzo Galeati,37,3,32.23010630320314
23366,Shoes,Miraclesuit,New,Women,Miraclesuit Eliana Marinetti,40,3,56.295000237878426
15620,Shoes,Hurley,Very Used,Men,Hurley Dott. Alessio Bossi,42,3,28.274400046281517
6270,Shoes,Body Wrap,New,Women,Body Victoria Soprano,38,3,26.24399997666478
18892,Shoes,Gold Toe,Used,Men,Gold Nedda Agnesi,41,3,23.512975495920152
6323,Shoes,Bslingerie,Used,Women,Bslingerie Silvestro Solari,40,3,13.530359899151474
14773,Shoes,ToeSox,Used,Women,ToeSox Lisa Forza-Rienzo,41,3,12.518999862670897
15537,Shoes,Haggar,Very Used,Men,Haggar Ezio Prati,40,3,14.75807886529109
23284,Shoes,Matix,Almost New,Men,Matix Loretta Leone,37,3,20.807811947274157
11711,Shoes,Diesel,Used,Men,Diesel Lara Turati,37,3,134.84015563255193
23232,Shoes,La Blanca,Very Used,Women,La Loretta Rensi,42,3,48.94470024257899
5939,Shoes,Laura,Almost New,Women,3-Piece Maura Argan,45,3,22.282785383653792
10817,Shoes,Majamas,New,Women,Majamas Renzo Rastelli,37,3,16.320000015199184
10843,Shoes,Medela,Very Used,Women,Medela Cecilia Binaghi,40,3,25.01745797746473
27129,Shoes,Slimming Tees,Very Used,Men,Slimming Sig.ra Victoria Borgia,43,3,9.635179905168414
17944,Shoes,Guide Gear,Used,Men,Men's Sig.ra Antonella Bellucci,41,3,13.676580536494106
23239,Shoes,La Leela,Very Used,Women,La Sig. Rolando Tarantini,39,3,10.051208969985678
18523,Shoes,Nike,Very Used,Women,Tommy Coluccio Manunta-Depero,37,3,20.286000047810376
27133,Shoes,SmartWool,Used,Men,Smartwool Dott. Adriana Turrini,38,3,24.960000067949288
25725,Shoes,,Used,Men,Quiksilver Adelmo Cattaneo-Monteverdi,43,3,12.532499969238415
14912,Shoes,7 For All Mankind,Almost New,Women,7 Dott. Lisa Pistoletto,40,3,74.65319970399142
23220,Shoes,L*Space,Very Used,Women,L*Space Claudio Matteotti,41,3,24.00300006195903
17953,Shoes,Sirisha,Used,Men,Men's Pierpaolo Giannini-Sokolov,38,3,21.33062155225584
18503,Shoes,Tommy Bahama,Very Used,Men,Tommy Loretta Toscani,41,3,13.124034493857975
5917,Shoes,Anemone,Very Used,Women,2 Eleanora Praga,41,3,8.102132871802345
25733,Shoes,RVCA,Used,Men,RVCA Nedda Sabbatini,45,3,17.107200014591218
14863,Shoes,JiMarti,Used,Women,XS Dott. Marcella Lancisi,44,3,11.8283553661377
23261,Shoes,Lucky Brand,Very Used,Women,Lucky Annalisa Ferrabosco,43,3,19.611800086125733
10761,Shoes,La Leche League,Very Used,Women,La Dott. Graziella Trezzini,42,3,10.899634852855803
11807,Shoes,Icebreaker,Very Used,Men,Icebreaker Tiziana Renzi,38,3,60.515000133775175
25338,Shoes,District Threads,New,Women,Junior Erika Almagià,45,3,21.996500349081224
25339,Shoes,KAVU,Very Used,Women,KAVU Girolamo Paganini,43,3,32.1099999723956
5048,Shoes,Jack,Almost New,Women,Jack Daria Impastato,38,3,37.42499998770654
1885,Shoes,Diamond Chain,Used,Men,Diamond Gilberto Filogamo,43,3,12.412119919774234
6062,Shoes,Anna-Kaci,Used,Women,Anna-Kaci Imelda Pace,40,3,7.65889979079403
15495,Shoes,Generra,New,Men,Generra Cecilia Folliero,42,3,12.729999963194132
18682,Shoes,TheTieBar,Almost New,Men,Black Riccardo Gualandi,40,3,5.252407376138697
18674,Shoes,ChalkTalkSPORTS,New,Men,Basketball Irma Marcacci,39,3,4.903145887646355
6021,Shoes,American Apparel,New,Women,American Annibale Pisacane,42,3,16.846200023218994
2423,Shoes,Russell Athletic,Almost New,Men,Russell Rocco Ughi,38,3,15.052212735930567
22487,Shoes,Skedouche,Used,Men,Ugly Maria Zacco-Ostinelli,41,3,33.403823219476095
25362,Shoes,Key Industries,Almost New,Men,Key Amanda Avogadro,44,3,13.988749948330225
1912,Shoes,Duofold,Used,Men,Duofold Paride Argan,44,3,7.78850003395928
199,Shoes,Carhartt,Very Used,Men,Carhartt Liliana Borsiere,41,3,5.66531542031218
18641,Shoes,35 Degree Below,New,Men,35 Antonio Cuzzocrea,44,3,8.152055772850153
27154,Shoes,Toddland,New,Men,Toddland Daniele Casale,40,3,11.376250006724149
2860,Shoes,Adidas,Almost New,Women,Allegra Chiara Odescalchi,42,3,6.540323987097502
12231,Shoes,Ralph Lauren,Used,Men,Polo Raffaello Casellati,44,3,42.93374376662797
21420,Shoes,Curve Appeal,Very Used,Women,Curve Dott. Sandra Papafava,38,3,7.100774988729973
3819,Shoes,KAMALIKULTURE,Used,Women,KAMALIKULTURE Maria Badoglio,40,3,42.604649932379836
8181,Shoes,A:X Armani Exchange,Very Used,Men,Armani Corrado Chindamo,42,3,58.19759984649718
19850,Shoes,Jessica Simpson,New,Women,Jessica Ubaldo Gonzaga-Bruscantini,39,3,8.858749947976321
8847,Shoes,Lee,New,Men,Lee Pier Udinesi-Puglisi,44,3,24.740099948085845
26153,Shoes,Shirt Me Up,Almost New,Women,got Marcello Visintini,39,3,7.504235840829403
26154,Shoes,prAna,Very Used,Men,prAna Dott. Giovanna Montalti,37,3,48.194999903440475
1428,Shoes,Pratt and Hart,Used,Women,Women's Fabrizio Mantegazza,40,3,18.12132034731947
17205,Shoes,Capelli New York,Used,Women,Capelli Dott. Rosario Spinola,42,3,13.652640459473469
13832,Shoes,Body Wrappers,Very Used,Women,Celebration Pasqual Chiappetta,39,3,14.85
13376,Shoes,Nautica,Very Used,Men,Nautica Rosalia Vercelloni,42,3,32.55525007196703
23909,Shoes,Hot from Hollywood,New,Women,Sexy Valeria Cerquiglini,40,3,16.412352754966506
9307,Shoes,PAIGE,Used,Men,Paige Giorgia Praga,44,3,91.9449999090284
7422,Shoes,NuBra,New,Women,Nubra Elladio Mennea,44,3,18.679329762023226
24177,Shoes,TYR,Almost New,Women,TYR Dolores Parisi-Bramante,40,3,15.427475663173455
20821,Shoes,Paul Fredrick,New,Men,Paul Dott. Antonia Gravina,38,3,86.52689946424218
21318,Shoes,Carhartt,Used,Men,Carhartt Enrico Gianvecchio,37,3,24.455520362817044
7533,Shoes,VX Intimate Inc,Almost New,Women,Printed Sig. Stefano Canetta,39,3,14.319017790321148
1408,Shoes,Luxury Divas,Used,Women,White Bianca Onio-Bignami,43,3,5.637659905310869
797,Shoes,NEFF,Very Used,Men,Neff Giulietta Ajello-Manacorda,41,3,6.478155252039343
26601,Shoes,Fruit of the Loom,Very Used,Men,Fruit Sig.ra Emma Satriani,42,3,7.638750005280597
17161,Shoes,Acura,New,Men,Brown Marcello Praga,39,3,7.17800988101448
7581,Shoes,Rhonda Shear,Used,Women,Rhonda Melania Ossola,43,3,12.03461968500942
13729,Shoes,Adidas,Very Used,Women,Allegra Federigo Catenazzi,43,3,5.293728210637092
9266,Shoes,Not Your Daughter's Jeans,Almost New,Women,Not Biagio Giannelli,42,3,57.519000023603446
7618,Shoes,Kiss,Used,Women,Set: Lara Inzaghi,37,3,11.374309872447103
9258,Shoes,Not Your Daughter's Jeans,Used,Women,Not Paoletta Ponti,44,3,46.05119987726211
7510,Shoes,Jockey,Almost New,Women,Plus Elisa Versace,40,3,10.712249985459493
4252,Shoes,Affliction,Very Used,Women,Affliction Massimiliano Polani,37,3,42.75517369746398
13872,Shoes,Dickies,New,Women,Dickies Elvira Morandini,40,3,24.219143888142096
16920,Shoes,Woman Within,Almost New,Women,Woman Sig. Alphons Almagià,42,3,9.271289898700118
20358,Shoes,Austin Reed,Very Used,Men,Austin Federigo Albertini,43,3,22.300775007531048
3514,Shoes,Adidas,New,Women,Allegra Loretta Innocenti-Petralli,43,3,5.194628679218531
8740,Shoes,Joe's Jeans,Used,Women,Joe's Coriolano Galtarossa-Iannelli,44,3,96.95699983946982
7325,Shoes,BridalPetticoat,New,Women,Mega Sig. Roberto Busoni,44,3,22.910670361298248
3511,Shoes,Adidas,New,Women,Allegra Hugo Morlacchi,43,3,4.349498909460963
7327,Shoes,Merry Modes,Very Used,Women,Merry Nino Mogherini,45,3,22.9823999768123
24805,Shoes,Samanthas Style Shoppe,Almost New,Women,Collections Stefani Lucchesi-Dossi,39,3,4.197960121360571
23851,Shoes,Rusty,Very Used,Men,Rusty Ranieri Pedrazzini-Pugliese,38,3,28.868400084972382
21461,Shoes,Devon & Jones,New,Men,Devon Sig.ra Graziella Perozzo,39,3,12.217374073001952
7349,Shoes,Moving Comfort,New,Women,Moving Morena Manzoni,39,3,22.894199974089865
13919,Shoes,FINESSE,Very Used,Women,FINESSE Romina Casadei,42,3,7.438499987125397
24789,Shoes,GM,Used,Men,Chevrolet Dott. Olga Ortolani,43,3,21.55860988555437
13291,Shoes,Levi's,New,Men,Levi's Ludovico Alighieri-Galiazzo,42,3,22.00295004276559
26298,Shoes,C-IN2,New,Men,C-in2 Dott. Vanessa Guidone,45,3,10.660500050894917
3794,Shoes,Jones New York,Used,Women,Jones Sig.ra Antonietta Foconi,38,3,60.58339991141111
24782,Shoes,Chestnut Hill,New,Men,Chestnut Sig.ra Matilda Iacovelli,39,3,32.2451286384226
24778,Shoes,Chestnut Hill,Very Used,Women,Chestnut Dott. Sylvia Guarato,41,3,17.069778798994303
16214,Shoes,Reef,Used,Men,Reef Sig.ra Melina Angeli,45,3,15.051915597550213
13297,Shoes,Louis Raphael,Very Used,Men,Louis Ettore Palmisano,44,3,31.130208995145708
729,Shoes,Isotoner,Used,Men,Men's Flavio Corbo,43,3,14.642302807759345
3148,Shoes,Only Hearts,Used,Women,Only Giuliano Tarchetti-Morosini,44,3,42.181824603308215
16652,Shoes,Adidas,Very Used,Women,Allegra Sig.ra Alina Montecchi,44,3,4.395384010014296
24237,Shoes,Puma,Almost New,Women,Volcom Laura Federico,42,3,27.819988964615934
738,Shoes,K. Alexander,Almost New,Men,Mens Enrico Iadanza,44,3,2.740364916981608
1450,Shoes,Wurkin Stiffs,Very Used,Men,Wurkin Ricciotti Morpurgo,39,3,14.93999993428588
9405,Shoes,Rock Revival,New,Men,Rock Giorgia Campise,44,3,66.67290000356735
8225,Shoes,Bullhead,Almost New,Men,Bullhead Pierina Medici,40,3,26.50724998838269
17156,Shoes,Briefly Stated,Very Used,Men,Briefly Valeria Manzoni,40,3,9.474999969825149
20359,Shoes,Austin Reed,Very Used,Men,Austin Angelina Balbi,38,3,22.300775007531048
16541,Shoes,Wildfox Couture,Almost New,Women,Wildfox Pier Rastelli,42,3,85.31459980085495
16334,Shoes,See Thru Soul,Very Used,Women,See Santino Scarpa,40,3,10.734999990090728
20968,Shoes,Nike,Almost New,Men,Tommy Cecilia Rocca,39,3,98.44209521514611
16997,Shoes,American Essentials,Used,Men,American Rosario Ottino-Meucci,39,3,13.459599889907985
8990,Shoes,Levi's,New,Women,Levi's Gianpaolo Papetti,39,3,13.605785821075493
7929,Shoes,Chic Intimates,New,Women,Women's Raffaella Filzi,42,3,5.683859389631517
16417,Shoes,True Religion,Almost New,Men,True Greco Zito-Cagnotto,37,3,69.17860851842343
13597,Shoes,Spyder,Very Used,Men,Spyder Tatiana Iannuzzi-Casalodi,45,3,68.37719867207967
13575,Shoes,The Savile Row Company,Very Used,Men,Savile Fiamma Scaramucci,40,3,30.004200150445104
26513,Shoes,Dockers,Used,Men,Dockersr Massimiliano Eco,41,3,11.995200018212202
3318,Shoes,Samanthas Style Shoppe,Used,Women,Collections Dott. Jacopo Cutuli,37,3,18.723663611879466
17052,Shoes,Betsey Johnson,Almost New,Women,Betsey Sig.ra Patrizia Ruberto,38,3,52.167350204102696
1310,Shoes,Trafalgar,Very Used,Men,Trafalgar Loredana Tamburello,43,3,21.27599991671741
12846,Shoes,Cubavera,Very Used,Men,Cubavera Mariano Togliatti,45,3,30.38100014906377
13621,Shoes,Tori Richard,New,Men,Tori Jolanda Piazzi,44,3,38.33640007618815
882,Shoes,Oakley,New,Men,Oakley Renata Pisani-Faranda,40,3,24.739451142241766
21067,Shoes,Alex Stevens,Almost New,Men,Alex Evangelista Mazzeo,37,3,11.365200032293798
26523,Shoes,Duofold,Almost New,Men,Duofold Raffaellino Campanella,44,3,13.282500025816264
20058,Shoes,Thorlo,Used,Women,Thorlo Liberto Boaga-Fantini,40,3,17.002720283988417
13567,Shoes,Savane,New,Men,Savane Sig.ra Concetta Prodi,42,3,17.81754526708837
12835,Shoes,Concitor,Almost New,Men,Concitor Piersanti Bacosi-Gianinazzi,45,3,13.429580370508397
12812,Shoes,Columbia,Almost New,Men,Columbia Marcantonio Maderno-Vergerio,37,3,15.964020309692547
26218,Shoes,American Apparel,Used,Men,American Priscilla Morosini,37,3,6.9720000214874736
26227,Shoes,Jockey,Almost New,Men,Big Patrizia Majorana-Guarato,45,3,9.860400030389428
1326,Shoes,TUMI,New,Men,Tumi Alessia Guinizzelli-Brugnaro,39,3,9.708799893808365
9031,Shoes,Levi's,Very Used,Women,Levi's Lauretta Guarato-Abate,43,3,27.160220870724608
9048,Shoes,Lucky Brand,Very Used,Men,Lucky Maria Majewski,45,3,38.8504998954013
17037,Shoes,BedHead,Almost New,Women,BedHead Claudia Sanudo,39,3,75.19440029263497
4026,Shoes,Roamans,Very Used,Women,Roamans Sig. Gastone Iacovelli,39,3,48.400158381476516
9160,Shoes,Miss Me,Very Used,Women,Miss Domenico Trobbiani,40,3,46.46069990750402
20147,Shoes,Evan Picone,Almost New,Women,Evan Gioachino Malenchini,37,3,68.85540132456869
8971,Shoes,Levi's,Very Used,Men,Levi's Sig. Fiorenzo Iannuzzi,42,3,23.6782378636337
16537,Shoes,WeekenderÂ®,Very Used,Women,WeekenderÂ® Dott. Gionata Migliaccio,40,3,17.43764018887165
20849,Shoes,Perry Ellis,Very Used,Men,Perry Nadia Varano,40,3,21.200466458992672
8094,Shoes,7 For All Mankind,Very Used,Women,7 Dott. Bartolomeo Mondadori,39,3,93.10949949547646
20887,Shoes,Ralph Lauren,Almost New,Men,Ralph Dott. Fulvio Bosurgi,45,3,50.83976193521162
13717,Shoes,Alfred Dunner,Used,Women,Alfred Roman Carnera-Ammaniti,44,3,11.669723908176854
8034,Shoes,7 For All Mankind,New,Men,7 Giorgia Catenazzi,41,3,63.664999906905
24140,Shoes,Swim Systems,Very Used,Women,Swim Raffaellino Pisani,41,3,34.807500137295584
8907,Shoes,Levi's,Used,Women,Levi's Amico Taliani,44,3,18.167639291390017
7646,Shoes,I-pink,Used,Women,Sexy Arnulfo Paoletti,39,3,13.408631867107408
17131,Shoes,Briefly Stated,New,Women,Briefly Gloria Tozzo,40,3,14.13000005297363
826,Shoes,Oakley,Used,Men,Oakley Nino Farnese,43,3,41.419999711215496
16513,Shoes,Puma,Used,Men,Volcom Viridiana Amaldi,37,3,28.24155295123145
828,Shoes,Oakley,New,Men,Oakley Lucrezia Emanuelli-Roero,42,3,47.254899743944414
4118,Shoes,Tiana B,Very Used,Women,Tiana Amalia Torricelli,44,3,10.384415784367562
19951,Shoes,PACT,New,Women,PACT Concetta Ungaretti,38,3,5.543999969959261
19285,Shoes,Robert Graham,Almost New,Men,Robert Ubaldo Antonello,37,3,17.219699998386204
9209,Shoes,Not Your Daughter's Jeans,Almost New,Women,Not Dott. Lisa Roero,44,3,57.9906287534776
21143,Shoes,American Rag,Used,Men,American Giacomo Cesaroni,43,3,14.372666964083344
951,Shoes,MM Collections,Used,Men,Plain Lolita Toselli,45,3,2.0947499983012676
13457,Shoes,Polo Ralph Lauren,Used,Men,Polo Gioacchino Offredi-Schicchi,43,3,29.542500156909227
16370,Shoes,Stitch's,Almost New,Women,Stitch's Lolita Ciani,38,3,11.76750000100583
8951,Shoes,Levi's,Used,Men,Levi's Dott. Ludovico Guinizzelli,38,3,23.383553333667336
9176,Shoes,Nasty Pig,New,Men,Nasty Gianfrancesco Mercati,37,3,85.50184323446074
21117,Shoes,Adidas,Used,Men,Allegra Nina Fattori,44,3,9.41510785623175
20958,Shoes,Tasso Elba,Very Used,Men,Tasso Riccardo Troisi,37,3,34.556543059232226
3384,Shoes,Adrianna Papell,New,Women,Adrianna Sig. Gian Morucci,41,3,42.15036054724097
3948,Shoes,Alki'i,Very Used,Women,One-size-fits-most Giancarlo Zacchia-Pavone,40,3,9.0774588983286
7633,Shoes,SEX NIGHT,Used,Women,Sexy Angelina Ferrabosco,40,3,14.467199961841107
3772,Shoes,Jessica Howard,Very Used,Women,Jessica Mirco Castelli,40,3,49.19852581140134
7900,Shoes,Wacoal,New,Women,Wacoal Amico Galuppi,45,3,33.21506908470088
16682,Shoes,Anna-Kaci,New,Women,Anna-Kaci Paoletta Vecellio,44,3,9.174244802879096
21689,Shoes,IZOD,Almost New,Men,Izod Diana Ferrazzi,37,3,23.2626499873586
16758,Shoes,Fresh Laundry,Used,Women,Fresh Ubaldo Tornatore,41,3,9.49999997392297
16735,Shoes,FineBrandShop,New,Women,Charcoal Dina Lucciano,44,3,8.762309841049612
9622,Shoes,True Religion,Very Used,Women,True Hugo Tuzzolino-Falcone,43,3,89.4347998738289
8466,Shoes,Diesel,Used,Men,Diesel Silvestro Trevisan-Tozzo,37,3,95.23799979407342
23664,Shoes,Quiksilver,Used,Men,Quiksilver Anita Mortati,41,3,27.27450013719499
16746,Shoes,Ed Garments,Used,Women,Ed Ricciotti Contarini,44,3,16.542153474304943
13149,Shoes,Haggar,Very Used,Men,Haggar Barbara Morpurgo,40,3,13.604112653526396
16000,Shoes,Nautica,Used,Men,Nautica Fiorino Costalonga-Vergerio,43,3,15.318585325959473
9807,Shoes,Wrangler,Used,Men,Wrangler Sig. Benedetto Marangoni,38,3,18.118800341130047
12395,Shoes,Nike,Very Used,Men,Tommy Uberto Spallanzani,37,3,39.23607526533311
1128,Shoes,Cashmere Pashmina Group,Used,Women,SCARVES Ermanno Bruscantini-Correr,45,3,10.189799960330127
4505,Shoes,stonepowerss,Very Used,Women,Bling Amanda Franscini,38,3,20.679300356049836
8563,Shoes,G-Star,New,Men,G-Star Annalisa Vecellio,41,3,90.23400000482798
17344,Shoes,Diesel,Very Used,Men,Diesel Geronimo Mogherini,45,3,16.29724992681295
14017,Shoes,Levi's,New,Women,Levi's Dott. Leonardo Antonioni,39,3,19.921572765549527
2992,Shoes,Anne Klein,New,Women,Anne Fernanda Donini,37,3,25.52505663623187
8422,Shoes,Diesel,Used,Men,Diesel Antonella Comeriato-Tacchini,41,3,86.95260277237146
4501,Shoes,FineBrandShop,Used,Women,Black Priscilla Basadonna-Molesini,39,3,7.733475022763014
17437,Shoes,Eileen West,Used,Women,Eileen Dott. Orazio Ceci,43,3,46.96650016866626
8625,Shoes,Haggar,Almost New,Men,Haggar Enzio Piazzi,43,3,16.353546849293704
12304,Shoes,Sean John,New,Men,SEAN Stefano Broggini,41,3,23.864022745230535
24390,Shoes,Adidas,Almost New,Women,Allegra Virginia Muratori,41,3,6.4814128374452595
7119,Shoes,George,New,Women,Ladies Chiara Panzera-Battelli,43,3,3.478922882148296
7157,Shoes,Laura,Almost New,Women,Laura Dott. Stella Gagliano,37,3,13.8717902809339
7061,Shoes,Jezebel,New,Women,Jezebel Gioachino Camuccini,37,3,27.93569996058941
7163,Shoes,Laura,Very Used,Women,Laura Letizia Pinamonte,40,3,10.760445296093748
3017,Shoes,Bailey 44,Used,Women,Bailey Eliana Pedersoli,37,3,65.0916004455183
7059,Shoes,Jezebel,Very Used,Women,Jezebel Dott. Piersanti Liguori,37,3,5.831999990344047
23685,Shoes,Quiksilver,Almost New,Men,Quiksilver Alina Brenna,40,3,36.91170010864736
1557,Shoes,ASICS,Almost New,Men,Asics Beppe Gaggini,41,3,9.213809942375226
23777,Shoes,Beach Joy,Almost New,Women,Rhinestone Gianpaolo Cusano,42,3,12.410838680942256
20483,Shoes,DKNY,New,Men,DKNY Margherita Visintini-Salata,42,3,91.6076033135761
17429,Shoes,Eileen West,Used,Women,Eileen Raimondo Trebbi,42,3,28.845000118017197
7174,Shoes,Laura,Almost New,Women,Laura Donatella Grifeo,39,3,18.253300409377367
8375,Shoes,DL1961,Very Used,Men,DL1961 Gianluigi Armellini,41,3,78.62399993240834
4390,Shoes,Altamont,Used,Men,Altamont Giuseppina Zabarella,43,3,42.76265289444468
9869,Shoes,AxParis,New,Women,AX Dott. Niccolò Squarcione,39,3,17.38394993590191
16821,Shoes,Michael Kors,Used,Women,Michael Stefani Traversa,43,3,41.1183748732321
3714,Shoes,French Connection,Very Used,Women,French Renata Bossi,44,3,43.855343641328574
9518,Shoes,Hot from Hollywood,Used,Women,Slim Rosa Pace,42,3,8.054109358788908
8342,Shoes,Citizens of Humanity,New,Men,Citizens Alfredo Gabbana,44,3,97.83179977163674
4510,Shoes,Gypsy Rose,Very Used,Women,Bohemian Zaira Vasari,41,3,13.272145811034925
2896,Shoes,Adidas,Used,Women,Allegra Matilda Jilani,45,3,4.3119540721523615
8486,Shoes,Dylan George,Very Used,Men,Dylan Paola Tozzi,37,3,34.342499922495335
23705,Shoes,Quiksilver,Used,Men,Quiksilver Rosalia Strangio-Farina,37,3,31.729500129818916
12427,Shoes,Tri-Mountain,Almost New,Men,Tri-Mountain Severino Satta,45,3,34.507241203019944
570,Shoes,JiMarti,Used,Women,JiMarti Victoria Liverotti,45,3,11.720482759809792
13016,Shoes,Ed Garments,New,Men,Ed Piersanti Donati-Montecchi,40,3,21.262830671047865
7240,Shoes,Luxury Lane,Used,Women,Luxury Luigina Perozzo,41,3,12.954815868277118
12271,Shoes,RVCA,New,Men,RVCA Alessia Visconti,40,3,31.768200121074916
16686,Shoes,Anne Klein,Very Used,Women,Anne Marina Mazzini,37,3,25.48260023909957
8460,Shoes,Diesel,Used,Men,Diesel Antonina Pigafetta,42,3,93.66999978199601
8540,Shoes,G by GUESS,Used,Men,G Umberto Toninelli,45,3,27.660599969979376
9571,Shoes,True Religion,Used,Men,True Ida Redi,39,3,74.39039988219739
26353,Shoes,Calvin Klein,Very Used,Men,Calvin Michelotto Bernardini,40,3,11.041800024267287
8530,Shoes,Fox,New,Men,Fox Sylvia Gabrieli,38,3,21.869770470072734
17324,Shoes,Alexander Del Rossa,New,Women,Del Baldassare Valier,43,3,32.08565245547525
3769,Shoes,Jessica Howard,Almost New,Women,Jessica Flavio Lollobrigida,44,3,27.053055343190657
23824,Shoes,Roxy,New,Women,Roxy Viridiana Palazzo,42,3,18.8992354074651
12452,Shoes,U.S. Polo Assn.,Very Used,Women,U.S. Dott. Francesco Badoer,40,3,15.476130638840496
20390,Shoes,Y&G,Very Used,Men,Blue Milena Pace,37,3,13.900067751478572
19448,Shoes,Under Armour,New,Men,UnderArmour Oreste Fantoni,39,3,7.229859745412469
21635,Shoes,Haggar,New,Men,Haggar Michelotto Bova,39,3,17.9171999797225
13076,Shoes,G-Star,New,Men,G-Star Gianni Camiscione,37,3,31.318875081790612
1537,Shoes,Fruit of the Loom,New,Men,Adult Sig. Umberto Abatantuono,41,3,8.55610992246434
4359,Shoes,Adidas,Very Used,Women,Allegra Rosaria Fittipaldi,39,3,6.928739654889554
24273,Shoes,Puma,New,Men,Volcom Gioele Foa-Busoni,45,3,19.987905488954727
9924,Shoes,Adidas,Used,Women,Allegra Angelo Toninelli,42,3,7.749504233115076
21732,Shoes,Jones New York,Almost New,Women,Jones Gemma Altera-Ruggeri,38,3,48.0878999151173
19510,Shoes,Wrightsock,Almost New,Men,WrightSock Rocco Rinaldi,40,3,5.185822248732926
23711,Shoes,Quiksilver,New,Men,Quiksilver Fabia Majewski,40,3,26.95275006140582
16131,Shoes,Quiksilver,Almost New,Men,Quiksilver Antonietta Dibiasi,43,3,23.967899945564568
20556,Shoes,Haggar,Almost New,Men,Haggar Costantino Serlupi,43,3,33.116318942994184
4530,Shoes,Burton,Very Used,Men,Burton Enrico Ruggeri,41,3,43.573157017532175
16036,Shoes,Oiselle Running,New,Women,Oiselle Priscilla Ovadia-Pirandello,39,3,25.451999994367362
19336,Shoes,Sock It To Me,Used,Men,Sock Isa Murri,41,3,6.927821877721578
14106,Shoes,Red Dot,Almost New,Women,Red Paola Gremese,39,3,56.84799997508527
24255,Shoes,Puma,Used,Men,Volcom Leone Gangemi-Ossola,41,3,36.11863561840744
24424,Shoes,Adidas,Used,Women,Allegra Ramona Nordio-Ziani,38,3,4.922369917047322
3548,Shoes,Anne Klein,New,Women,Anne Lara Boaga,37,3,50.01570001915098
8613,Shoes,River Road,Very Used,Men,Grand Olga Branciforte,38,3,20.57882373153998
9936,Shoes,GUESS by Marciano,Almost New,Women,GUESS Camillo Cremonesi,42,3,108.14039985705168
13028,Shoes,Ed Garments,Used,Men,Ed Lando Bembo,41,3,32.26980992906465
14099,Shoes,RSQ,Almost New,Women,RSQ Daniele Golino,41,3,19.867032805437994
18225,Shoes,Playboy,Very Used,Men,Playboy Mauro Lanfranchi-Ruggieri,45,4,9.871592386675795
8924,Shoes,Levi's,Almost New,Women,Levi's Costantino Scalfaro,37,4,25.207999976351857
11312,Shoes,Arc'teryx,New,Men,Arcteryx Mirco Mercalli-Renier,38,4,102.95100050512701
8910,Shoes,Levi's,Very Used,Women,Levi's Dott. Napoleone Ughi,41,4,19.75905978320798
18227,Shoes,Playboy,Used,Women,Playboy Gianmarco Ortese,42,4,16.678200058266523
10872,Shoes,Mommy Paradise,Almost New,Women,Mommy Hugo Piane,37,4,12.373465387606846
20911,Shoes,Orvis,Very Used,Men,Reversible Patrizio Gritti,42,4,33.888400005549194
8509,Shoes,Eddie Bauer,Very Used,Men,Eddie Achille Cuomo-Pedrazzini,39,4,33.5791483612679
10774,Shoes,Lamaze,Used,Women,Lamaze Rossana Ferragni,42,4,7.542000029236078
5104,Shoes,KUT from the Kloth,Used,Women,KUT Guglielmo Pergolesi,39,4,20.171777372342383
20103,Shoes,World's Softest,Used,Women,World's Marisa Gravina,43,4,2.973299912554026
8545,Shoes,G by GUESS,New,Women,G Sylvia Sabbatini,39,4,17.810549939610066
5420,Shoes,Port & Company,Used,Men,Port Vittorio Norbiato-Pometta,42,4,13.675482142171294
22968,Shoes,Diesel,Almost New,Men,Diesel Uberto Venditti,40,4,38.68200012110173
8547,Shoes,G by GUESS,Very Used,Women,G Giovanni Serlupi,44,4,26.851274934131656
7907,Shoes,Warner's,Very Used,Women,Warner's Lara Gaiatto,40,4,15.379199986159803
20125,Shoes,Anne Klein,New,Women,Anne Gaetano Iannuzzi,41,4,102.82032660108348
22556,Shoes,Puma,Almost New,Men,Volcom Viridiana Battaglia,40,4,39.84435000652448
10813,Shoes,Maidenform,Very Used,Women,Maidenform Ruggiero Roccabonella-Cugia,40,4,6.629625015472993
3970,Shoes,Patty,Almost New,Women,Patty Costantino Pertini,37,4,16.520529214227214
5930,Shoes,HOT,Used,Women,3 Orlando Pasqua,37,4,7.73034289262031
5364,Shoes,On The Byas,Used,Men,On Fulvio Pininfarina,37,4,21.07821083031291
18553,Shoes,Private Label,New,Men,Varsity Virginia Nadi,37,4,8.759999945759773
3656,Shoes,Curve Appeal,Used,Women,Curve Mariano Gremese,40,4,6.513965897664071
20960,Shoes,Ted Baker,Almost New,Men,Ted Sandro Agostini,37,4,139.70879966542125
5464,Shoes,Retrofit,Used,Men,RETROFIT Olga Montecchi,42,4,17.350714392537597
8956,Shoes,Levi's,Used,Men,Levi's Ninetta Bonomo,43,4,29.99799988232553
10908,Shoes,Motherhood Maternity,Very Used,Women,Motherhood Salvatore Udinese,44,4,9.979901883500396
8943,Shoes,Levi's,Almost New,Men,Levi's Sig. Severino Mazzini,44,4,27.70560003519058
2327,Shoes,Nike,New,Men,Nike Michela Caruso,39,4,28.600918968883917
20187,Shoes,Kasper,Very Used,Women,KASPER Dott. Iolanda Pacillo,37,4,94.37774994932116
